1000000, 0.15,
2000000, 0.3,
3000000, 0.45,
4000000, 0.62,
5000000, 0.79,
6000000, 0.94,
7000000, 1.12,
8000000, 1.26,
9000000, 1.44,
10000000,    1.61,

